Date,Directorate,Beneficiary,Summary,Amount,Merchant Category,Supplier Number
01/01/2020,Healthcare,Vendaid Limited,Project Management,404.73,Office Supplies,S919
01/01/2020,Community Services,Wicksteed Leisure Ltd,Project Management,283.21,Consulting,S264
01/01/2020,Community Services,Housing 21,Consultation,330.99,Travel Expenses,S498
01/01/2020,Housing,Avery Weigh-Tronix,Consultation,231.77,Food & Drink Purchases,S857
01/01/2020,Healthcare,Flagpole Express Limited,Project Management,264.92,Consulting,S214
01/01/2020,Infrastructure,MPLC Ltd,Maintenance,73.07,Travel Expenses,S912
01/01/2020,Infrastructure,Screwfix Direct Limited,Project Management,84.68,Consulting,S424
01/01/2020,Healthcare,Hockley Mint Ltd,Maintenance,148.01,Utilities,S207
02/01/2020,Housing,Richards Group,Maintenance,100.78,Consulting,S997
02/01/2020,Housing,Mag Equipment Ltd,Training,200.89,Travel Expenses,S744
02/01/2020,Community Services,Bretby House,Maintenance,282.83,Travel Expenses,S782
02/01/2020,Infrastructure,Fountains Direct Ltd,Project Management,216.12,Consulting,S355
02/01/2020,Healthcare,Selborne House Ltd,Project Management,366.15,Utilities,S629
02/01/2020,Housing,Equita Limited,Equipment Purchase,322.02,Utilities,S978
02/01/2020,Community Services,Basheer Occupational Health Ltd,Project Management,262.01,Office Supplies,S610
02/01/2020,Education,Bearwood Nursing Home Ltd,Equipment Purchase,276.44,Food & Drink Purchases,S358
03/01/2020,Education,Reddi Support Ltd,Maintenance,353.94,Office Supplies,S535
03/01/2020,Housing,Selly Wick Pre-School Playgroup,Consultation,185.52,Consulting,S131
03/01/2020,Education,365 Computing Ltd,Consultation,76.93,Consulting,S982
03/01/2020,Community Services,Dsm Demolition Ltd,Maintenance,417.59,Office Supplies,S911
03/01/2020,Community Services,Hill Top Lodge,Consultation,435.95,Utilities,S869
03/01/2020,Infrastructure,247 Group,Consultation,198.14,Food & Drink Purchases,S468
03/01/2020,Community Services,Miko Coffee Ltd,Training,320.44,Utilities,S984
04/01/2020,Housing,4Imprint Direct Ltd,Maintenance,266.66,Travel Expenses,S657
04/01/2020,Education,James Hemming Electrical Ltd,Project Management,90.78,Utilities,S518
04/01/2020,Healthcare,CHHG Ltd,Equipment Purchase,278.19,Office Supplies,S634
